Update Date,Yr,Mnth,Inflation Value,YoY Value,MoM Value,3 Month Trend
2026-02-02,1947,8,10.3,7.2916666666666785,0.0,8.074452532039322
2026-02-02,1947,9,10.6,10.416666666666668,2.9126213592232904,8.709795321637435
2026-02-02,1947,10,10.8,11.340206185567025,1.8867924528301987,9.682846506300123
2026-02-02,1947,11,10.9,12.371134020618568,0.9259259259259226,11.376002290950753
2026-02-02,1947,12,11.1,14.432989690721653,1.8348623853210944,12.714776632302415
2026-02-02,1948,1,11.2,15.463917525773196,0.9009009009008978,14.089347079037806
2026-02-02,1948,2,11.4,17.5257731958763,1.7857142857142954,15.80756013745705
2026-02-02,1948,3,11.4,16.326530612244895,0.0,16.438740444631463
2026-02-02,1948,4,11.5,16.16161616161616,0.8771929824561372,16.671306656579116
2026-02-02,1948,5,11.6,14.85148514851485,0.8695652173913012,15.779877307458634
2026-02-02,1948,6,11.8,15.686274509803935,1.7241379310344922,15.56645860664498
2026-02-02,1948,7,11.8,14.563106796116504,0.0,15.033622151478431
2026-02-02,1948,8,11.9,15.533980582524268,0.8474576271186409,15.261120629481569
2026-02-02,1948,9,12.1,14.150943396226415,1.680672268907557,14.749343591622397
2026-02-02,1948,10,12.1,12.037037037037027,0.0,13.907320338595904
2026-02-02,1948,11,12.1,11.0091743119266,0.0,12.399051581730014
2026-02-02,1948,12,12.1,9.00900900900901,0.0,10.685073452657546
2026-02-02,1949,1,12.1,8.035714285714288,0.0,9.351299202216632
2026-02-02,1949,2,12.1,6.140350877192976,0.0,7.7283580573054245
2026-02-02,1949,3,12.1,6.140350877192976,0.0,6.772138680033414
2026-02-02,1949,4,12.1,5.217391304347823,0.0,5.8326976862445905
2026-02-02,1949,5,12.1,4.310344827586207,0.0,5.222695669709002
2026-02-02,1949,6,12.1,2.542372881355923,0.0,4.023369671096651
2026-02-02,1949,7,12.1,2.542372881355923,0.0,3.1316968634326847
2026-02-02,1949,8,12.2,2.5210084033613356,0.8264462809917326,2.535251388691061
2026-02-02,1949,9,12.2,0.8264462809917326,0.0,1.9632758552363307
2026-02-02,1949,10,12.3,1.6528925619834798,0.8196721311475527,1.666782415445516
2026-02-02,1949,11,12.3,1.6528925619834798,0.0,1.377410468319564
2026-02-02,1949,12,12.2,0.8264462809917326,-0.8130081300813123,1.3774104683195638
2026-02-02,1950,1,12.1,0.0,-0.8196721311475381,0.8264462809917373
2026-02-02,1950,2,12.2,0.8264462809917326,0.8264462809917326,0.5509641873278217
2026-02-02,1950,3,12.3,1.6528925619834798,0.8196721311475527,0.8264462809917376
2026-02-02,1950,4,12.3,1.6528925619834798,0.0,1.377410468319564
2026-02-02,1950,5,12.3,1.6528925619834798,0.0,1.6528925619834798
2026-02-02,1950,6,12.3,1.6528925619834798,0.0,1.6528925619834798
2026-02-02,1950,7,12.4,2.4793388429752126,0.8130081300812979,1.9283746556473906
2026-02-02,1950,8,12.5,2.459016393442629,0.8064516129032229,2.197082599467107
2026-02-02,1950,9,12.7,4.0983606557377055,1.5999999999999945,3.0122386307185156
2026-02-02,1950,10,12.9,4.878048780487801,1.574803149606308,3.8118086098893786
2026-02-02,1950,11,12.9,4.878048780487801,0.0,4.618152738904436
2026-02-02,1950,12,12.9,5.737704918032796,0.0,5.164600826336133
2026-02-02,1951,1,13.0,7.438016528925623,0.7751937984496096,6.01792340914874
2026-02-02,1951,2,13.3,9.016393442622963,2.307692307692313,7.397371629860461
2026-02-02,1951,3,13.4,8.943089430894306,0.7518796992481176,8.46583313414763
2026-02-02,1951,4,13.6,10.569105691056901,1.4925373134328304,9.509529521524723
2026-02-02,1951,5,13.6,10.569105691056901,0.0,10.027100271002704
2026-02-02,1951,6,13.9,13.00813008130081,2.205882352941182,11.382113821138205
2026-02-02,1951,7,13.9,12.096774193548386,0.0,11.891336655302032
2026-02-02,1951,8,14.0,12.0,0.7194244604316521,12.368301424949733
2026-02-02,1951,9,14.1,11.023622047244098,0.7142857142857117,11.70679874693083
2026-02-02,1951,10,14.2,10.077519379844952,0.7092198581560258,11.033713809029685
2026-02-02,1951,11,14.3,10.852713178294577,0.7042253521126861,10.65128486846121
2026-02-02,1951,12,14.3,10.852713178294577,0.0,10.594315245478036
2026-02-02,1952,1,14.4,10.769230769230772,0.6993006993006968,10.824885708606644
2026-02-02,1952,2,14.3,7.518796992481203,-0.694444444444442,9.713580313335518
2026-02-02,1952,3,14.2,5.970149253731335,-0.6993006993007091,8.086059005147769
2026-02-02,1952,4,14.2,4.411764705882351,0.0,5.966903650698296
2026-02-02,1952,5,14.1,3.6764705882352944,-0.7042253521126736,4.686128182616327
2026-02-02,1952,6,14.1,1.4388489208633042,0.0,3.175694738326983
2026-02-02,1952,7,14.1,1.4388489208633042,0.0,2.184722809987301
2026-02-02,1952,8,14.1,0.7142857142857117,0.0,1.1973278520041066
2026-02-02,1952,9,14.1,0.0,0.0,0.7177115450496719
2026-02-02,1952,10,14.1,-0.7042253521126736,0.0,0.0033534540576793948
2026-02-02,1952,11,14.1,-1.398601398601406,0.0,-0.7009422502380266
2026-02-02,1952,12,14.1,-1.398601398601406,0.0,-1.1671427164384953
2026-02-02,1953,1,14.1,-2.083333333333338,0.0,-1.6268453768453834
2026-02-02,1953,2,14.0,-2.097902097902103,-0.7092198581560258,-1.8599456099456155
2026-02-02,1953,3,13.9,-2.112676056338021,-0.7142857142857117,-2.0979704958578203
2026-02-02,1953,4,13.9,-2.112676056338021,0.0,-2.107751403526048
2026-02-02,1953,5,13.9,-1.4184397163120517,0.0,-1.8812639429960312
2026-02-02,1953,6,13.9,-1.4184397163120517,0.0,-1.6498518296540414
2026-02-02,1953,7,13.9,-1.4184397163120517,0.0,-1.4184397163120517
2026-02-02,1953,8,14.1,0.0,1.4388489208633042,-0.9456264775413677
2026-02-02,1953,9,14.1,0.0,0.0,-0.4728132387706839
2026-02-02,1953,10,14.2,0.7092198581560258,0.7092198581560258,0.23640661938534194
2026-02-02,1953,11,14.1,0.0,-0.7042253521126736,0.23640661938534194
2026-02-02,1953,12,14.1,0.0,0.0,0.23640661938534194
2026-02-02,1954,1,14.1,0.0,0.0,0.0
2026-02-02,1954,2,14.1,0.7142857142857117,0.0,0.23809523809523725
